airport1,x1,y1,airport2,x2,y2,city1,city2
DE-0440,13.50353336,52.37209892,SKPC,-67.4931488,6.184709787,,
EDAZ,13.15929985,52.2038002,MULM,-83.64209747,22.33610058,,
EDDB,13.50355005,52.37209892,SKPC,-67.4931488,6.184709787,,
EGNT,-1.689804971,55.03790092,PADQ,-152.4994965,57.75185013,,
GMTT,-5.912729979,35.72220039,SVPR,-62.76034927,8.288529873,,
HE46,32.97574997,30.02729988,UTST,67.30914688,37.2866497,,
OIMN,57.30825043,37.49299812,SVEZ,-69.4966507,7.059720039,,
KAGS,-81.95959854,33.36770058,K7A3,-85.229599,32.81204987,,
KF45,-80.21954727,26.85025024,ZWKC,82.87279892,41.67760086,,
KJCT,-99.76015091,30.5118494,LKTO,12.95265007,50.08647156,,
KEWK,-97.27289963,38.06069946,CYKF,-80.37826538,43.46163559,,
KLLN,-102.3714981,33.56049919,KBLH,-114.7169991,33.61655045,,
KLLN,-102.3714981,33.56049919,8XS8,-102.0415001,33.58465004,,
K3I3,-87.37649918,39.54874992,KFTG,-104.5510025,39.79379845,,
KBQR,-78.61225128,42.92229843,ETMN,8.658500195,53.7676506,,
KFWQ,-79.8314476,40.20969963,K3I3,-87.37649918,39.54874992,,
K1S3,-106.6235008,46.27115059,EDQM,11.85405016,50.28865051,,
K1MO,-92.31124878,37.12074852,KI86,-82.19779968,39.6916008,,
KGNC,-102.6565018,32.67855072,18TE,-95.06394958,32.58519936,,
KCLR,-115.5214996,33.13135147,58CL,-116.276001,33.19149971,,
KE35,-106.1474991,31.51570034,EGFA,-4.556945086,52.11529922,,
K14M,-90.83065033,33.18264961,K2F4,-101.8159981,33.18220139,,
06TE,-95.02685165,30.31270027,KJCT,-99.76015091,30.5118494,,
7D8,-81.09954834,41.3512001,K9S9,-119.6899986,45.45415115,,
KL04,-115.2675018,32.84029961,KFRH,-86.63695145,38.50624847,,
NM72,-108.2849998,32.74735069,18TE,-95.06394958,32.58519936,,
CYKF,-80.37826538,43.46163559,EGBP,-2.056754947,51.66810036,,
CYYC,-114.0164986,51.10419846,CYBW,-114.3712959,51.10480309,,
CYZX,-64.91860199,44.98589897,KDXX,-96.17644882,44.98590088,,
EGHH,-1.84235996,50.78009987,ETHB,9.082210064,52.27840042,,
EGJJ,-2.19530499,49.20795059,EPCH,19.20324993,50.88469887,,
FAPI,29.48440075,-23.92610073,ZA-0047,20.32464981,-28.62709999,,
LFPG,2.581459999,48.9972496,ETAR,7.600684881,49.43449974,,
LFPL,2.626037478,48.82105064,KCQA,-84.56010056,40.48404884,,
LKTB,16.69110394,49.15083885,CJJ4,-100.4985008,49.1507988,,
ORAA,42.42815018,33.77244949,US-3T9,-103.9365005,29.46965027,,
USSS,60.80179977,56.74480057,EYKA,24.08477783,54.96392632,,
VA2D,75.02565002,23.38145065,VA1D,83.04059982,24.12514973,,
KGFK,-97.17634964,47.95240021,EDPA,10.26464987,48.7778511,,
KCXP,-119.7340012,39.19219971,US-6182,-88.67024994,39.19200134,,
KARR,-88.47344971,41.77029991,0C2,-88.70354843,41.77090073,,
KEKM,-86.00749969,41.72090149,KSBN,-86.32089996,41.71405029,,
KLUM,-91.86729813,44.89075089,56WI,-89.59564972,44.77325058,,
KUSE,-84.12549973,41.61034966,K0S9,-122.8110008,48.05379868,,
KD98,-82.97589874,42.80170059,LDPL,13.92214966,44.89350128,,
C56,-87.67975235,41.37744904,3W9,-82.79655075,41.69444847,,
KC22,-85.63510132,34.15985107,GMFF,-4.977935076,33.92734909,,
3TE,-83.93965149,42.02479935,W87,-83.37554932,42.01684952,,
KVTI,-92.02799988,42.21925163,KMXO,-91.1617012,42.21889877,,
K4M2,-93.86334991,35.14949989,AR03,-93.20154953,35.11870003,,
K13C,-85.26480103,43.45210075,94C,-89.25415039,43.45159912,,
KTKV,-89.80569839,45.46910095,WI46,-89.80540085,45.4693985,,
6AR9,-92.69445038,36.41530037,KLKU,-77.9701004,38.00979996,,
K5S0,-122.5025024,43.75264931,88WS,-89.62474823,42.93097687,,
MO84,-91.1332016,37.71655083,KEHR,-87.68569946,37.80784988,,
US-4853,-76.9113884,43.06555557,KD95,-83.27079773,43.06529999,,
1W3,-78.76044846,39.60595131,UDYZ,44.39589882,40.14730072,,
3G8,-90.1100502,41.43980026,KVPZ,-87.00344849,41.4524498,,
62FL,-81.43975067,27.84440041,MMTJ,-116.9705009,32.54104996,,
OH13,-82.39155197,40.76810074,KHHG,-85.45705032,40.85294914,,
OH14,-84.56520081,41.57979965,8B2,-71.54674911,44.26409912,,
OH14,-84.56520081,41.57979965,3W9,-82.79655075,41.69444847,,
WI46,-89.80540085,45.4693985,KTKV,-89.80569839,45.46910095,,
ETHR,11.10004997,49.2174511,ETIH,11.83615017,49.2181015,,
GCGM,-17.21459961,28.02965069,RJNY,138.2979965,34.81265068,,
LZTT,20.2411499,49.07360077,EDFM,8.513365269,49.47274971,,
RJBK,133.9329987,34.59085083,KVTI,-92.02799988,42.21925163,,
RJFM,131.4485016,31.87714958,NM78,-107.6455002,31.87779999,,
SVEB,-72.33475113,8.676120281,SKTB,-72.73040009,8.631520271,,
SVQU,-69.7222023,8.749130249,RJSY,139.7874985,38.81234932,,
URMS,45.01214981,43.32355118,KAMN,-84.68659973,43.32300186,,
KHIE,-71.54584885,44.3675499,DAUE,2.866945028,30.5685997,,
KS39,-120.9034996,44.28864861,KAPA,-104.8400002,39.57054901,,
K5G6,-77.81844711,41.66469955,YCTM,148.0330048,-34.62554932,,
US-0962,-113.5866394,34.87075806,YSRI,150.7819977,-33.60445023,,
US-5649,-84.97425079,38.91814995,3W3,-76.35884857,38.91809845,,
BR-0030,-49.50740051,-2.242549896,CMT,-49.56009865,-2.246899962,,
CMT,-49.56009865,-2.246899962,BR-0030,-49.50740051,-2.242549896,,
HEPS,32.24004936,31.27940083,KIDI,-79.10554886,40.63220024,,
LLHB,34.6583004,31.23869991,DAOS,-0.5932765007,35.17179871,,
OETR,38.73124886,31.69274998,TFFF,-61.00570679,14.59062099,,
RJNG,136.8694992,35.39410019,RJOR,134.1650009,35.53005028,,
KLEM,-102.1049995,45.91909981,KHPN,-73.70789719,41.06575012,,
ESTL,13.20725012,56.08500099,RJOS,134.6064987,34.13280106,,
LKER,13.74745035,50.40500069,LKRA,13.74734783,50.40493774,,
LKRA,13.74734783,50.40493774,LKER,13.74745035,50.40500069,,
LTCK,41.66119957,38.74774933,VI90,82.56814957,26.44754982,,
KMCW,-93.33545303,43.15550041,KY74,-102.1410027,47.93510056,,
KIDG,-95.44490051,42.33259964,1PA5,-80.4137001,40.83025169,,
K9S2,-105.4389992,48.80770111,K9D0,-99.45095062,44.54070091,,
CN99,-121.1585846,37.5464344,K1Q4,-121.3009987,37.67779922,,
CEH6,-110.2775002,52.33805084,KOWA,-93.26060104,44.12340164,,
CYUX,-81.24364853,68.77614975,LEMG,-4.494164944,36.68530083,,
MM72,-88.17290115,21.15569973,SVUP,-62.3288002,7.979104996,,
VIAM,76.81475067,30.37164974,YBCS,145.7555008,-16.88309956,,
KC75,-89.38705063,41.01910019,KLJF,-94.50724792,45.0970993,,
K8T6,-98.11649704,28.36285019,KNWL,-97.31115341,27.63670063,,
50TX,-98.52539825,30.13764954,KBAZ,-98.04069901,29.7068491,,
KMDA,-98.37919998,29.43204975,06TT,-100.2020035,30.85999966,,
MM50,-106.7019997,24.42055035,MMCN,-109.8330002,27.39260006,,
VI40,77.03755188,29.71414948,VTSH,100.6079979,7.186499834,,
1O6,-122.2719994,41.26305008,38CA,-119.4884987,35.69169998,,
YPTN,132.3775024,-14.52155018,YBIE,139.4609985,-24.35554981,,
4C7,-93.03340149,42.5474987,KD00,-96.40024948,47.26045036,,
SD50,-99.74765015,44.53129959,5G3,-99.74740219,44.53089905,,
5G3,-99.74740219,44.53089905,SD50,-99.74765015,44.53129959,,
WAFF,119.9099998,-0.9185180068,ID-0157,119.90839,-0.9156969786,,
K09K,-99.3404007,41.63694954,KGOK,-97.41559982,35.84980011,,
K84R,-97.16685104,30.03044987,71K,-97.38369751,37.64769936,,
OK16,-97.66779709,36.36469841,0NE6,-98.0705986,40.43334961,,
BKPR,21.0359869,42.57168579,LW74,21.42745018,41.01954842,,
FASS,22.9993,-27.64859962,FEFT,15.78640032,4.221580029,,
LW74,21.42745018,41.01954842,LW68,21.40839958,41.15069962,,
KUTS,-95.58715057,30.74685001,KJDD,-95.49644852,32.74219894,,
KSTF,-88.84859848,33.43309975,K5R2,-88.7534523,30.38964939,,
KPJY,-89.36045074,37.97789955,91C,-89.75580215,43.29784966,,
KDAF,-90.08514786,44.03340149,KMXA,-90.15455246,35.89444923,,
37M,-90.15075302,36.04089928,KK06,-90.40364838,39.97284889,,
US-5154,-89.58214569,36.73282623,KBXA,-89.86494827,30.81369972,,
3MO4,-89.62805176,36.45055008,WS96,-89.76735306,42.62080002,,
